"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.387662500E-1,1.799919451E0,-4.002252468E0,3.524865683E-1,4.402497204E0
7.487252500E-1,2.291113340E0,-3.859314358E0,1.400092034E-1,4.490335202E0
7.586842500E-1,1.833242440E0,-3.385012198E0,3.885603440E-1,3.869116768E0
7.686432500E-1,8.026104552E-1,-4.077607291E0,5.909594114E-1,4.197653843E0
7.786022500E-1,-7.098139733E-1,-3.294563958E0,6.793181855E-2,3.370845930E0
7.885612500E-1,-6.061428398E-1,-2.821397912E0,1.062446101E0,3.075140165E0
7.985192500E-1,-5.525174403E-1,-2.660040488E0,2.190680394E0,3.490010245E0
8.084782500E-1,-1.282621252E0,2.836663823E0,3.147111797E0,4.426747292E0
8.184372500E-1,-1.117015241E0,7.759919415E0,1.315090110E0,7.949436104E0
8.283962500E-1,7.860739446E-1,6.389337328E0,-1.349901069E0,6.577520554E0
8.383552500E-1,1.223110630E0,4.786621950E0,-1.399306826E0,5.134764736E0
8.483142500E-1,2.856195277E-1,2.380742385E0,-1.375247434E0,2.764203017E0
8.582722500E-1,-7.540124917E-1,-1.682900001E0,-4.698760518E0,5.047676461E0
8.682312500E-1,-9.380927807E-1,-1.128951162E0,-5.470782434E0,5.664274819E0
8.781902500E-1,-1.108661324E0,1.425404411E0,-1.527159412E0,2.364978549E0
8.881492500E-1,-8.277400339E-1,2.049201164E0,-5.336571001E-1,2.273580629E0
8.981082500E-1,-5.679511660E-1,3.056774654E0,9.592254952E-1,3.253698413E0
9.080672500E-1,1.898269325E-1,5.038324703E0,2.580740841E0,5.664006830E0
9.180262500E-1,8.895407179E-1,2.057917024E0,1.348630177E0,2.616315830E0
9.279842500E-1,-2.412531357E0,-5.509727814E0,-1.075129589E0,6.110099161E0
9.379432500E-1,-7.256401641E0,-2.777115778E0,8.653439163E-1,7.817707907E0
9.479022500E-1,-7.405533707E0,1.669829135E0,3.517577055E0,8.366815832E0
9.578612500E-1,-4.192539577E0,1.926097394E0,6.713167825E-1,4.662392680E0
9.678202500E-1,-4.608013485E0,5.569270595E0,1.737509779E0,7.434346204E0
9.777792500E-1,-7.396847084E0,9.048470913E0,2.502546611E0,1.195202544E1
9.877372500E-1,-5.499478229E0,6.035762630E0,-3.864226019E-1,8.174595632E0
9.976962500E-1,-3.615103642E0,5.158738754E0,9.352621436E-4,6.299330183E0
1.007655250E0,-1.208593455E0,3.209291673E0,1.113851605E0,3.605678380E0
1.017614250E0,6.930549762E-1,1.347259882E0,1.425410843E-1,1.521759623E0
1.027573250E0,1.799473893E0,-4.967841196E-1,-3.115607584E0,3.632067093E0
1.037532250E0,2.371140964E0,-1.791747674E0,-3.816247276E0,4.836983820E0
1.047490250E0,4.582371690E0,-2.745451351E0,-2.601094122E0,5.941491737E0
1.057449250E0,6.656443986E0,-2.942636420E0,-1.629972759E-1,7.279692559E0
1.067408250E0,4.008664233E0,-4.330113451E0,9.979188600E-1,5.984572958E0
1.077367250E0,1.173822695E0,-3.730144102E0,5.515596664E-1,3.949183815E0
1.087326250E0,-9.050517730E-2,-3.637109054E0,-1.139870253E0,3.812618214E0
1.097285250E0,-1.415298961E0,-4.445403003E0,3.538196969E-1,4.678660853E0
1.107244250E0,-7.681493781E-1,-7.121408728E0,7.795879206E-1,7.205017214E0
1.117202250E0,5.432972949E-1,-3.887265803E0,-4.391097279E0,5.889630098E0
1.127161250E0,1.854191260E0,-3.962463335E0,-2.248306166E0,4.918741864E0
1.137120250E0,2.314778629E0,-6.138111123E0,-8.980437389E-1,6.621260516E0
1.147079250E0,2.331052015E0,-6.209487500E0,1.071749167E0,6.718644564E0
1.157038250E0,2.050115376E0,-5.661229171E0,1.678692344E0,6.250639709E0
1.166997250E0,2.119277705E0,-4.458802482E0,1.050944628E0,5.047449076E0
1.176955250E0,3.569301817E0,-4.796217231E0,-4.241416745E-1,5.993622556E0
1.186917750E0,3.981541923E0,-1.566043396E0,-1.044114787E0,4.404014497E0
1.196876750E0,3.140122182E-1,3.993183437E0,-1.637661263E0,4.327360864E0
1.206835750E0,-3.957236509E0,6.591746299E0,-2.367222891E0,8.044537543E0
1.216794750E0,-6.376469945E0,6.067959738E0,-2.216810724E0,9.077100535E0
1.226753750E0,-5.062839155E0,4.842999634E0,-1.131394860E0,7.096974009E0
1.236712750E0,-2.990961611E0,3.860582619E0,-5.293225591E-1,4.912243061E0
1.246670750E0,-1.868455689E0,2.043198413E0,-4.836670607E-2,2.769138088E0
1.256629750E0,-5.185879848E-1,3.331579757E-1,3.058985487E-1,6.881145666E-1
1.266588750E0,1.125636595E0,-1.495912476E0,-1.913501322E-4,1.872114290E0
1.276547750E0,2.179318523E0,-2.931989810E0,-5.439068305E-1,3.693484549E0
1.286506750E0,2.015741496E0,-3.009041494E0,-7.040190902E-1,3.689605314E0
1.296465750E0,1.026314986E0,-1.924428599E0,-4.671668029E-1,2.230469167E0
1.306423750E0,-4.750317099E-1,7.729334968E-1,2.069670220E-1,9.305464331E-1
1.316382750E0,-2.564923538E0,1.609046159E1,2.006851389E0,1.641673656E1
1.326341750E0,-3.493488573E0,1.674877270E1,1.281068816E0,1.715712641E1
1.336300750E0,-2.818350928E0,1.178022750E1,-1.297445405E0,1.218196316E1
1.346259750E0,-1.614328826E0,1.242584080E1,-1.696585701E0,1.264460281E1
1.356218750E0,-3.309738360E0,1.696127338E1,9.956378612E-1,1.730983702E1
1.366177750E0,-4.216435978E0,9.957476134E0,1.959813755E0,1.098956474E1
1.376135750E0,-4.399520486E0,5.921362440E0,-4.215880492E-1,7.388914002E0
1.386094750E0,-3.645610905E0,2.894800934E0,-6.166342065E-2,4.655550848E0
1.396053750E0,-3.942100992E0,-1.143017692E1,-7.032245998E-1,1.211130172E1
1.406012750E0,-2.061809954E0,-1.605235879E1,6.202141643E-2,1.618434829E1
1.415971750E0,7.940178256E-1,-1.221110180E1,1.250201365E0,1.230058840E1
1.425930750E0,3.144601295E0,-9.076609468E0,1.431170496E0,9.711931102E0
1.435888750E0,3.610172393E0,-8.659909399E0,1.678879602E0,9.531317444E0
1.445847750E0,3.461207558E0,-9.795896516E0,2.640894949E0,1.071978882E1
1.455806750E0,4.066241765E0,-1.462919211E1,1.313719668E0,1.524051978E1
1.465765750E0,6.932813804E0,-5.982618456E0,1.156203719E0,9.229974965E0
1.475724750E0,8.609171355E0,-5.174277145E0,2.082478838E0,1.025805505E1
1.485683750E0,5.631630566E0,-4.081866987E0,1.510712218E0,7.117524312E0
1.495642750E0,3.965534878E-1,-3.826372315E0,-2.146243894E-1,3.852848737E0
1.505600750E0,-2.622917685E0,-3.536536360E0,-1.491209414E0,4.648708651E0
1.515559750E0,-3.689746566E0,-2.639078220E0,-2.111504563E0,5.003740110E0
1.525518750E0,-2.660650937E0,2.862469339E-1,-2.764661794E0,3.847642856E0
1.535477750E0,-9.999482824E-1,2.951095587E0,-2.694030937E0,4.119061109E0
1.545436750E0,1.540897737E-1,3.006306167E0,-7.881671016E-1,3.111724250E0
1.555395750E0,1.153499235E0,2.071553900E0,1.437390618E0,2.772722099E0
1.565354750E0,1.654209468E0,2.010579135E0,2.521322898E0,3.624349125E0
1.575312750E0,1.030610058E0,2.862875136E0,2.659732339E0,4.041334836E0
1.585271750E0,-9.737923712E-2,3.869863905E0,2.049419704E0,4.380119916E0
1.595230750E0,-6.631496841E-1,3.909753610E0,1.341904271E0,4.186483950E0
1.605189750E0,-7.324514687E-1,2.671537868E0,8.581750837E-1,2.900011070E0
1.615148750E0,-9.433155137E-1,-2.876485115E-1,7.337565672E-1,1.229221105E0
1.625107750E0,-2.034465011E0,-3.055778874E0,7.574144018E-1,3.748400857E0
1.635065750E0,-2.595047224E0,-3.670864445E0,3.991799109E-1,4.513187396E0
1.645024750E0,-1.110880927E0,-3.075643035E0,-8.483785124E-1,3.378369815E0
1.654983750E0,5.260845172E-1,-1.908269818E0,-1.825317124E0,2.692590058E0
1.664942750E0,6.615773678E-1,-5.207775843E-1,-1.726736577E0,1.921070824E0
1.674901750E0,1.738751435E-1,6.294580275E-1,-6.502479489E-1,9.215597479E-1
1.684860750E0,-2.136388412E-1,1.181984823E0,5.649509597E-1,1.327365535E0
1.694819750E0,-4.247597252E-1,1.277769817E0,1.206699250E0,1.808103871E0
1.704777750E0,-6.637379140E-1,9.862685752E-1,1.289929833E0,1.754192890E0
1.714736750E0,-8.015255043E-1,5.957657862E-1,1.048165007E0,1.447767208E0
1.724695750E0,-8.218184124E-1,2.659383845E-1,6.635994811E-1,1.089253413E0
1.734654750E0,-8.573950651E-1,1.037547487E-1,2.298234956E-1,8.937058715E-1
1.744613750E0,-9.280718225E-1,1.057802242E-1,-1.479402570E-1,9.457235766E-1
1.754572750E0,-9.985513826E-1,2.226017457E-1,-3.226132531E-1,1.072723502E0
1.764531750E0,-1.094710452E0,4.057616830E-1,-2.434499931E-1,1.192602791E0
1.774489750E0,-1.183422507E0,6.530468649E-1,-3.729704976E-2,1.352164971E0
1.784448750E0,-1.242124606E0,8.841680038E-1,2.162464070E-1,1.539931526E0
1.794407750E0,-1.356968745E0,9.945008701E-1,4.278958793E-1,1.735940967E0
1.804366750E0,-1.487708248E0,9.894441980E-1,5.146707523E-1,1.859344410E0
1.814325750E0,-1.582926793E0,7.940097857E-1,4.693315883E-1,1.832042824E0
1.824284750E0,-1.661704867E0,4.191377735E-1,4.076384930E-1,1.761564271E0
1.834243750E0,-1.754781869E0,1.007293993E-1,3.589490207E-1,1.793948221E0
1.844202750E0,-1.803258065E0,3.416995883E-2,2.496970122E-1,1.820784400E0
1.854160750E0,-1.825370626E0,1.494150710E-1,2.282899171E-3,1.831476999E0
1.864119750E0,-1.818673518E0,3.403225690E-1,-3.825238247E-1,1.889369549E0
1.874078750E0,-1.822791419E0,4.292265594E-1,-8.526877642E-1,2.057639526E0
1.884037750E0,-1.713726229E0,3.161858475E-1,-1.176597784E0,2.102668168E0
1.893996750E0,-1.759477622E0,-8.012264192E-2,-1.266539655E0,2.169401723E0
1.903955750E0,-1.791410144E0,-4.789343244E-1,-1.331635683E0,2.282932759E0
1.913913750E0,-1.806316597E0,-6.560002935E-1,-1.367558491E0,2.358671715E0
1.923872750E0,-1.724865760E0,-5.523279905E-1,-1.227623072E0,2.187986862E0
1.933831750E0,-1.568869648E0,-4.341060609E-1,-1.109624653E0,1.970042363E0
1.943790750E0,-1.530458411E0,-3.162092364E-1,-1.005963313E0,1.858562191E0
1.953749750E0,-1.717327968E0,-6.704885244E-2,-7.787136157E-1,1.886824261E0
1.963708750E0,-1.953785861E0,1.645885956E-1,-4.228554332E-1,2.005785460E0
1.973667750E0,-1.804419468E0,2.302539968E-1,5.584690288E-2,1.819908073E0
1.983626750E0,-1.421318523E0,2.860697633E-1,2.808556549E-1,1.476774239E0
1.993584750E0,-9.964224114E-1,3.518263811E-1,4.589060028E-1,1.152056485E0
2.003543750E0,-6.493308131E-1,5.082592803E-1,7.369959247E-1,1.105948007E0
2.013502750E0,-3.162699012E-1,6.747681016E-1,8.180288319E-1,1.106575714E0
2.023461750E0,-1.395704064E-1,6.527720457E-1,6.470492296E-1,9.296579734E-1
2.033420750E0,-4.679731339E-2,4.303042012E-1,3.719367099E-1,5.706913442E-1
2.043379750E0,1.656070344E-1,-8.839820623E-3,5.407651216E-3,1.659309343E-1
