"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.200119167E-1,8.133710276E0,4.526448920E0,6.659527223E0,1.144531719E1
7.299689167E-1,7.729109851E0,4.374466921E0,4.865156780E0,1.012644313E1
7.399269167E-1,7.324377277E0,4.127706819E0,3.530140383E0,9.118462437E0
7.498839167E-1,6.651377374E0,4.568436606E0,2.115753003E0,8.341932915E0
7.598409167E-1,5.849228264E0,4.793684217E0,8.106959850E-1,7.605925824E0
7.697979166E-1,5.214881380E0,4.788765539E0,-1.114084616E-1,7.080937440E0
7.797559167E-1,4.248329616E0,5.073989795E0,-8.716043839E-1,6.674831171E0
7.897129167E-1,3.352302289E0,5.307176170E0,-1.508682503E0,6.456018311E0
7.996699167E-1,2.989667330E0,5.063249044E0,-1.767132943E0,6.139817625E0
8.096269167E-1,2.659627090E0,4.863423958E0,-1.699490891E0,5.797825294E0
8.195839167E-1,2.565826641E0,4.551728772E0,-1.212361109E0,5.363909080E0
8.295419167E-1,3.480033545E0,3.868217914E0,-6.130136105E-1,5.239229809E0
8.394989166E-1,4.603846759E0,3.584830853E0,-1.166700786E-1,5.836097080E0
8.494559166E-1,4.666260524E0,3.641397986E0,-3.706447676E-1,5.930526462E0
8.594129166E-1,4.430348761E0,3.775450083E0,-8.011881199E-1,5.875705564E0
8.693699166E-1,3.548098059E0,3.493560494E0,-1.464943429E0,5.190378022E0
8.793279167E-1,2.516892462E0,2.789908901E0,-1.869905652E0,4.197009232E0
8.892849167E-1,1.301076819E0,1.957810353E0,-1.273705418E0,2.673602019E0
8.992419167E-1,1.267179340E-1,9.020563906E-1,-1.546786322E0,1.795079690E0
9.091989167E-1,-1.195075570E0,5.709513724E-2,-3.606776623E0,3.800039878E0
9.191569166E-1,-1.654070304E0,-3.373545223E-1,-3.682878719E0,4.051339569E0
9.291139166E-1,-1.298395870E0,-4.603507036E-1,-1.687345493E0,2.178276708E0
9.390709166E-1,-4.673129833E-1,-5.713144845E-1,-4.466417603E-1,8.627111490E-1
9.490279166E-1,9.910001421E-1,-5.062870145E-1,3.603814423E-2,1.113421111E0
9.589849167E-1,1.514611872E0,5.600112319E-2,3.036328988E-1,1.545761361E0
9.689429167E-1,1.670038465E0,1.516574782E-1,3.826440581E-1,1.720013064E0
9.788999167E-1,1.507428567E0,-4.863538563E-2,4.185377030E-1,1.565209282E0
9.888569167E-1,1.705514107E0,-2.913433671E-2,1.647995339E-1,1.713705362E0
9.988139167E-1,2.340857942E0,5.354377234E-1,-4.960783607E-1,2.452020228E0
1.008770917E0,1.970059685E0,1.637038534E0,-4.026316684E-1,2.592902348E0
1.018728917E0,4.257147217E-1,2.302606042E0,-5.808287814E-2,2.342349511E0
1.028685917E0,8.825530028E-1,1.935319038E0,3.434590155E-1,2.154605225E0
1.038642917E0,1.737560942E0,1.592723072E0,7.991869104E-1,2.488892229E0
1.048600292E0,1.002827890E0,1.581482384E0,4.320753229E-1,1.921832301E0
1.058558292E0,-6.429750359E-1,2.021958987E0,2.834209746E-1,2.140575271E0
1.068515292E0,-1.756007153E0,1.972314371E0,1.315281460E-1,2.644028131E0
1.078472292E0,-2.002268488E0,1.682731601E0,-8.885721266E-3,2.615481542E0
1.088429292E0,-2.398717310E0,1.517395731E0,2.139963984E-1,2.846423897E0
1.098386292E0,-4.504950462E0,1.701690028E0,3.482224497E-1,4.828207379E0
1.108344292E0,-4.176711164E0,1.631963736E0,9.746299848E-1,4.588913313E0
1.118301292E0,-6.574285344E0,1.543314684E0,1.851278177E0,7.002162443E0
1.128258292E0,-7.423550733E0,1.542628806E0,1.234551584E0,7.681987160E0
1.138215292E0,-7.841469362E0,2.122769077E0,5.191134667E-1,8.140286795E0
1.148173292E0,-7.007868664E0,2.222375227E0,-1.271775252E-1,7.352914319E0
1.158130292E0,-5.606193423E0,2.134538938E0,-9.473454148E-2,5.999552967E0
