"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.452880833E-1,-7.175828764E-1,1.276683404E0,1.725092340E0,2.262916101E0
7.553480833E-1,-7.162410866E-1,1.562376607E0,1.286214366E0,2.146711287E0
7.654080833E-1,-7.161997175E-1,1.847072275E0,6.739249331E-1,2.092556532E0
7.754680833E-1,-6.980289102E-1,2.003578849E0,7.464035100E-1,2.249153344E0
7.855280833E-1,-5.593050344E-1,2.046706157E0,1.509656357E0,2.604014311E0
7.955880833E-1,-4.472190267E-1,1.904742193E0,2.339849297E0,3.050072526E0
8.056480833E-1,-3.330547723E-1,1.522662903E0,3.037474165E0,3.414041169E0
8.157080833E-1,-1.743057910E-1,1.283441616E0,2.814385346E0,3.098123588E0
8.257680833E-1,1.086687487E-1,9.437944007E-1,3.161900575E0,3.301540855E0
8.358280833E-1,3.939530848E-1,5.910774887E-1,2.954377044E0,3.038571268E0
8.458880833E-1,5.882006586E-1,2.849032438E-1,2.028114935E0,2.130821453E0
8.559470833E-1,5.061781101E-1,-2.376861003E-1,1.993512867E0,2.070459976E0
8.660080833E-1,3.484756342E-1,-5.025635076E-1,1.136167211E0,1.290302785E0
8.760670833E-1,3.457843801E-1,-4.344086543E-1,6.310894006E-1,8.405662068E-1
8.861270833E-1,1.006063154E-1,-1.999698052E-1,7.450574809E-1,7.779589987E-1
8.961870833E-1,-1.905997883E-1,-1.094090062E-1,6.873285055E-1,7.216086782E-1
9.062470833E-1,-4.107248727E-1,-2.597938380E-1,8.747411227E-1,1.000679665E0
9.163070833E-1,-4.443578379E-1,-3.663385856E-1,1.029588842E0,1.179708028E0
9.263670833E-1,-6.517277330E-2,-8.538139379E-1,1.080781215E0,1.378888598E0
9.364270833E-1,4.614359468E-1,-9.241033173E-1,1.103560798E0,1.511534488E0
9.464870833E-1,9.111667912E-1,-2.267678869E-1,7.632867604E-1,1.210064161E0
9.565470833E-1,1.299242547E0,4.345507416E-1,3.150643516E-1,1.405749298E0
9.666070833E-1,1.674093948E0,7.044760501E-1,-1.611013162E-1,1.823411826E0
9.766670833E-1,1.835398162E0,8.769542938E-1,-6.323892367E-1,2.130176376E0
9.867270833E-1,1.727163716E0,9.387158015E-1,-9.544468582E-1,2.185234693E0
9.967870833E-1,1.500264705E0,9.977098221E-1,-1.125816470E0,2.124542727E0
