"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.077108333E-2,-6.049634564E-1,1.042809981E-1,-2.374045569E-1,6.581916391E-1
6.083208334E-2,-4.886219913E-1,-3.084347785E-2,-3.870505929E-1,6.241081092E-1
7.089208334E-2,-5.765752244E-1,2.007816911E-2,-2.543398476E-1,6.305004999E-1
8.095308335E-2,-7.887589860E-1,9.546924412E-2,-8.093774378E-2,7.986275934E-1
9.101408336E-2,-9.449974653E-1,1.314851689E-1,7.748905599E-2,9.572424525E-1
1.010750834E-1,-9.015362808E-1,4.392896175E-2,2.214814192E-1,9.293822886E-1
1.111360833E-1,-1.065499809E0,-7.606116593E-2,4.296393728E-1,1.151375323E0
1.211960833E-1,-1.155983425E0,-3.969908595E-1,3.102018070E-1,1.261001420E0
1.312570833E-1,-1.040379294E0,-2.609682512E-1,3.361114043E-1,1.124039314E0
1.413180833E-1,-1.017873653E0,-1.515276700E-2,4.308696270E-1,1.105416218E0
1.513790833E-1,-9.046157169E-1,1.038401181E-1,4.286611336E-1,1.006410817E0
1.614400833E-1,-8.174685225E-1,2.533689174E-1,5.827393591E-1,1.035391595E0
1.715000834E-1,-7.693909612E-1,4.762197545E-1,8.194633001E-1,1.220765254E0
1.815610834E-1,-8.087564635E-1,6.653336191E-1,1.132248992E0,1.542317614E0
1.916220834E-1,-7.781176382E-1,6.237184006E-1,1.294867076E0,1.634372187E0
2.016830833E-1,-6.108676824E-1,3.080991483E-1,1.317439667E0,1.484497116E0
2.117440833E-1,-5.267025679E-1,4.355415523E-2,1.475888101E0,1.567660119E0
2.218050833E-1,-4.990192178E-1,-1.214112934E-1,1.661207415E0,1.738784334E0
2.318650833E-1,-3.991674855E-1,-2.852625552E-1,1.751293713E0,1.818719075E0
2.419260833E-1,-4.246538906E-1,-1.557730410E-1,2.181509621E0,2.227909422E0
2.519870833E-1,-4.449918222E-1,-2.688491285E-2,1.276522021E0,1.352127580E0
2.620480834E-1,-2.020876667E-1,1.862437588E-1,8.135558581E-1,8.587195683E-1
2.721090834E-1,1.282101434E-1,1.940106153E-1,4.480428994E-1,5.047973845E-1
2.821690834E-1,4.831703398E-1,4.198066950E-2,4.701015204E-1,6.754342258E-1
2.922300833E-1,6.966407812E-1,5.196245134E-2,5.758542627E-1,9.053267953E-1
3.022910833E-1,7.416504546E-1,5.234982938E-2,5.395980173E-1,9.186685592E-1
3.123520833E-1,7.170468329E-1,-2.739186645E-2,4.897551817E-1,8.687730503E-1
3.224130833E-1,7.150099553E-1,-2.692604801E-1,5.032604957E-1,9.148833635E-1
3.324730833E-1,6.293241262E-1,-2.870216900E-1,4.921437693E-1,8.489027012E-1
3.425340833E-1,5.605598469E-1,-3.506265324E-1,1.055575038E0,1.245554080E0
3.525950834E-1,5.879980525E-1,-4.804771122E-1,1.932407709E0,2.076246498E0
3.626560834E-1,6.937684827E-1,-5.245274037E-1,2.044453225E0,2.221763420E0
3.727170833E-1,8.633457765E-1,-5.453028533E-1,1.437501131E0,1.763272705E0
3.827780833E-1,1.033933981E0,-7.403770772E-1,7.699905932E-1,1.486628133E0
3.928380833E-1,1.172358845E0,-1.044028541E0,4.688104552E-1,1.638354082E0
4.028990833E-1,1.047368324E0,-1.160115944E0,1.831505817E-1,1.573656108E0
4.129600833E-1,7.550052758E-1,-1.097148741E0,-5.076862532E-1,1.425311776E0
4.230210833E-1,4.621148086E-1,-9.150161594E-1,-1.367749695E0,1.709252438E0
4.330820834E-1,3.295733401E-1,-7.514362085E-1,-1.995404441E0,2.157524935E0
4.431420834E-1,4.371879821E-1,-7.817329717E-1,-2.604670864E0,2.754369271E0
4.532030834E-1,6.651359832E-1,-1.056816109E0,-2.939693516E0,3.193910477E0
4.632640833E-1,8.193148539E-1,-1.333669783E0,-2.912499871E0,3.306449367E0
4.733250833E-1,7.742468546E-1,-1.498405729E0,-2.124330869E0,2.712463744E0
4.833860833E-1,4.068152051E-1,-1.314288602E0,-7.927953190E-1,1.587884618E0
4.934470833E-1,-1.537998249E-1,-6.969653016E-1,2.001548696E-1,7.412671513E-1
5.035070833E-1,-5.391995296E-1,-1.233695260E-1,5.923603678E-1,8.104609663E-1
5.135680833E-1,-5.524765098E-1,1.041739941E-1,5.867400241E-1,8.126169890E-1
5.236290834E-1,-3.348791036E-1,4.073784381E-2,1.664170200E-1,3.761624788E-1
5.336900834E-1,1.379358172E-2,-2.002206507E-1,-5.826668537E-1,6.162623096E-1
5.437510833E-1,3.253960893E-1,-4.056172568E-1,-1.426746347E0,1.518556259E0
5.538110833E-1,4.179671609E-1,-4.198558116E-1,-1.982896662E0,2.069505889E0
5.638720833E-1,4.066007584E-1,-2.192445669E-1,-1.858715835E0,1.915258968E0
5.739330833E-1,8.003888056E-2,3.379655564E-1,-1.536925431E0,1.575679765E0
5.839940833E-1,-1.508344826E-1,8.823825565E-1,-8.658334744E-1,1.245398580E0
5.940550833E-1,-3.904261905E-1,1.024049482E0,-1.721987468E-1,1.109397296E0
