"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.315319583E-1,-2.648502762E0,1.011111523E1,9.379251995E0,1.404348910E1
6.414899583E-1,-2.311215190E0,1.077145533E1,4.138564514E0,1.176833386E1
6.514479583E-1,-1.915717417E0,1.141088695E1,6.092680304E-1,1.158660959E1
6.614049583E-1,-1.218702999E0,1.185985605E1,-5.800005233E-1,1.193640747E1
6.713629583E-1,-3.916561523E-1,1.255359428E1,-6.115532684E-1,1.257458235E1
6.813209583E-1,-3.811970184E-1,1.328144749E1,-5.131700644E-1,1.329682301E1
6.912789583E-1,-5.860093049E-1,1.173880232E1,-4.186721890E-1,1.176087468E1
7.012369583E-1,-2.501856932E-1,7.054778536E0,4.935728288E-1,7.076447358E0
7.111939583E-1,-5.234045190E-1,2.796575897E0,2.091517756E0,3.531180477E0
7.211519583E-1,-9.898201740E-1,-8.774986696E-1,3.678759648E0,3.909350386E0
7.311099583E-1,-1.050635017E0,-4.446119871E0,5.147254238E0,6.882299182E0
7.410679583E-1,-2.809113497E-1,-7.403662598E0,6.033257682E0,9.554754278E0
7.510259583E-1,1.762474466E0,-9.273443120E0,7.115352767E0,1.182079983E1
7.609829583E-1,4.665190776E0,-1.004354832E1,8.771868961E0,1.412736893E1
7.709409583E-1,7.133668585E0,-1.025539177E1,9.729760998E0,1.583447306E1
7.808989583E-1,8.660942602E0,-1.035645739E1,9.308763810E0,1.639881764E1
7.908569583E-1,9.228749927E0,-1.039591791E1,8.171479197E0,1.612507385E1
8.008139583E-1,8.869106988E0,-1.027646981E1,6.476820445E0,1.504048183E1
8.107719583E-1,7.794161294E0,-9.665549215E0,4.521729924E0,1.321430412E1
8.207299583E-1,5.747637570E0,-9.108918843E0,2.503553209E0,1.105782613E1
8.306879583E-1,3.587876083E0,-9.183574339E0,5.103318259E-1,9.872757011E0
8.406459583E-1,2.029313322E0,-9.925533965E0,-6.014562964E-1,1.014869877E1
8.506029583E-1,1.062585411E0,-1.000464445E1,-1.670249257E0,1.019861417E1
8.605609583E-1,2.472593080E-1,-9.380850624E0,-2.476169821E0,9.705303322E0
8.705189583E-1,-2.016733915E-2,-8.925173600E0,-2.737963992E0,9.335715148E0
8.804769583E-1,-2.644894445E-1,-8.803761429E0,-2.777548472E0,9.235309712E0
8.904349583E-1,-1.221871751E0,-8.512680602E0,-3.415924381E0,9.253498851E0
9.003919583E-1,-2.227215990E0,-8.445380904E0,-4.084994955E0,9.642205840E0
9.103499583E-1,-3.118534993E0,-8.439627244E0,-4.548873577E0,1.008190554E1
9.203079583E-1,-4.110000573E0,-8.253425000E0,-4.752055842E0,1.037271245E1
9.302659583E-1,-4.752635301E0,-8.211470643E0,-4.559608480E0,1.052643444E1
9.402229583E-1,-4.576194107E0,-8.415879362E0,-4.052996945E0,1.040169997E1
9.501809583E-1,-4.254324181E0,-8.630206128E0,-3.257103186E0,1.015817175E1
9.601389583E-1,-4.081781910E0,-8.570076286E0,-2.592730265E0,9.840193156E0
9.700969583E-1,-4.228098834E0,-8.320916487E0,-2.548030348E0,9.675067420E0
9.800539583E-1,-4.034133827E0,-7.942751323E0,-2.315673692E0,9.204557510E0
9.900119583E-1,-3.174776144E0,-7.175497811E0,-1.522093969E0,7.992730601E0
9.999699583E-1,-2.575176923E0,-5.954664672E0,-8.185461643E-1,6.539081385E0
1.009927958E0,-2.757647474E0,-4.511422745E0,9.035234571E-2,5.288262316E0
1.019885958E0,-3.159093327E0,-3.015875135E0,1.307695282E0,4.559105222E0
1.029842958E0,-3.081808339E0,-1.192539048E0,2.458413874E0,4.118675854E0
1.039800958E0,-2.910244600E0,1.416308482E0,3.624176767E0,4.859023625E0
1.049758958E0,-3.206203759E0,4.023248650E0,6.073049739E0,7.959158585E0
1.059716958E0,-4.037840962E0,6.662945505E0,8.474962553E0,1.151190656E1
1.069674958E0,-6.012706473E0,1.052499051E1,9.162740124E0,1.519486331E1
1.079631958E0,-7.356487262E0,1.450157312E1,9.963302300E0,1.907042004E1
1.089589958E0,-7.319603611E0,1.737958085E1,1.147210964E1,2.207341675E1
1.099547958E0,-5.591826814E0,1.834988302E1,1.457829561E1,2.409384645E1
1.109505958E0,-4.582699719E0,1.711925112E1,1.917403754E1,2.610964594E1
1.119462958E0,-4.992155088E0,1.469227655E1,2.208033293E1,2.698751017E1
1.129416958E0,-4.685176851E0,1.210985142E1,2.132137369E1,2.496398125E1
1.139374958E0,-3.075538077E0,9.332632729E0,1.725720564E1,1.985870375E1
1.149332958E0,-2.416711093E0,8.222672154E0,1.153962978E1,1.437413946E1
1.159290958E0,-3.220945174E0,8.626681427E0,7.395427380E0,1.181043887E1
1.169247958E0,-3.591856282E0,8.765841066E0,5.034679549E0,1.072797275E1
1.179205958E0,-3.518593594E0,8.475403433E0,3.921538673E0,9.979550581E0
1.189163958E0,-3.448092838E0,7.632393395E0,3.747294863E0,9.175237978E0
1.199121958E0,-2.552750805E0,5.946336483E0,3.952657262E0,7.582806451E0
1.209079958E0,-6.636148301E-1,3.624151624E0,4.132250983E0,5.536276530E0
1.219036958E0,2.007747767E0,7.905698687E-1,3.986136665E0,4.532696474E0
1.228994958E0,3.650649743E0,-2.510069931E0,3.108140397E0,5.411860247E0
1.238952958E0,3.858374126E0,-5.853215480E0,2.148938291E0,7.332470125E0
1.248910958E0,3.997015994E0,-8.212438942E0,1.194084759E0,9.211195832E0
1.258867958E0,4.584001309E0,-8.823408659E0,1.237004784E0,1.001976992E1
1.268825958E0,5.786637329E0,-8.764005625E0,2.357006198E0,1.076329152E1
1.278783958E0,6.509675950E0,-8.646734453E0,3.825712164E0,1.147945866E1
1.288741958E0,6.769211048E0,-8.412489147E0,5.063193496E0,1.192594316E1
1.298699958E0,6.885002875E0,-8.209081471E0,5.134448251E0,1.188086032E1
1.308656958E0,6.763243380E0,-8.109308091E0,4.438164734E0,1.145424135E1
1.318614958E0,5.977344267E0,-8.128989235E0,3.078238029E0,1.054915446E1
1.328572958E0,4.815822945E0,-8.111313102E0,1.292342248E0,9.521328655E0
1.338530958E0,3.293271723E0,-7.918353231E0,-4.658307141E-1,8.588536242E0
1.348488958E0,1.766988371E0,-7.752028012E0,-2.094579651E0,8.222131726E0
1.358445958E0,5.247186077E-1,-7.597417690E0,-3.068432833E0,8.210442450E0
1.368403958E0,-6.637838146E-1,-7.658050393E0,-2.980448610E0,8.244356778E0
1.378361958E0,-1.887505332E0,-7.820955575E0,-2.365413617E0,8.386012405E0
1.388319958E0,-2.849158445E0,-8.180954610E0,-1.539437980E0,8.798613042E0
1.398276958E0,-3.421102383E0,-8.453990344E0,-9.765940645E-1,9.172111547E0
1.408234958E0,-3.338358434E0,-8.383333760E0,-8.539419919E-1,9.063892039E0
1.418192958E0,-2.971173756E0,-8.192716869E0,-8.803176123E-1,8.759191873E0
1.428150958E0,-2.672452372E0,-8.116563317E0,-8.525766671E-1,8.587635805E0
1.438107958E0,-2.749038033E0,-8.212531913E0,-8.680820212E-1,8.703818526E0
1.448065958E0,-3.131081071E0,-8.435220782E0,-1.050291786E0,9.058682639E0
1.458023958E0,-3.672433838E0,-8.551611364E0,-1.231964484E0,9.388001049E0
1.467981958E0,-4.084662541E0,-8.617232326E0,-1.286058830E0,9.622635208E0
1.477939958E0,-4.198225994E0,-8.537376902E0,-1.267624898E0,9.597852820E0
1.487896958E0,-4.251499684E0,-8.205164421E0,-1.282684402E0,9.329804500E0
1.497854958E0,-4.209799096E0,-7.777908958E0,-9.945090562E-1,8.899849687E0
1.507812958E0,-3.980036850E0,-7.579317049E0,-4.658026475E-1,8.573430607E0
1.517770958E0,-4.061587089E0,-7.107347928E0,2.277233219E-1,8.189184463E0
1.527727958E0,-4.477937495E0,-6.197337570E0,5.816541159E-1,7.667935751E0
1.537685958E0,-4.726567537E0,-4.869133764E0,9.496325532E-1,6.852058543E0
1.547643958E0,-4.675037194E0,-2.953250286E0,1.606899646E0,5.758453481E0
1.557601958E0,-4.823426372E0,-8.036904359E-1,2.971495645E0,5.721987998E0
1.567559958E0,-5.172001408E0,1.420296868E0,5.299968892E0,7.540325724E0
1.577516958E0,-5.220071368E0,3.827047083E0,9.020112501E0,1.110215583E1
1.587474958E0,-4.411100604E0,6.331787277E0,1.280381418E1,1.494948147E1
1.597432958E0,-2.296084350E0,9.420385988E0,1.521324826E1,1.804047112E1
1.607390958E0,-4.884793192E-2,1.202392425E1,1.614646739E1,2.013170508E1
1.617347958E0,1.376869013E0,1.383954786E1,1.605283592E1,2.123964205E1
1.627305958E0,1.880820357E0,1.510474733E1,1.595114466E1,2.204835352E1
1.637263958E0,9.078805098E-1,1.550551783E1,1.603755832E1,2.232596262E1
