"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.266271250E-1,4.565429383E0,1.122421693E1,9.332385977E0,1.529443099E1
7.365841250E-1,2.645549918E0,1.166949644E1,9.942738812E0,1.555744634E1
7.465411250E-1,2.313696456E0,1.089961577E1,9.100183688E0,1.438638796E1
7.564991250E-1,1.524552138E0,1.103342463E1,7.915166498E0,1.366420795E1
7.664561250E-1,7.143473196E-1,1.132753957E1,6.521424760E0,1.309016523E1
7.764131250E-1,3.647387874E-1,1.132161400E1,4.415512036E0,1.215766115E1
7.863701250E-1,-3.297782850E0,1.309018858E1,2.899471105E0,1.380707577E1
7.963271250E-1,-4.267996725E0,1.239700350E1,9.516869724E-1,1.314561524E1
8.062841250E-1,-1.602608374E0,1.231886014E1,-1.423070202E0,1.250391129E1
8.162411250E-1,-2.093971540E0,1.392791566E1,-2.946534759E0,1.438935782E1
8.261991250E-1,-3.758535258E0,1.224518873E1,-4.432768339E0,1.355435980E1
8.361561250E-1,-2.631124252E0,1.098755205E1,-5.556442974E0,1.259059861E1
8.461131250E-1,4.282507176E0,1.191224710E1,-4.222167419E0,1.334421959E1
8.560701250E-1,3.924846443E0,9.910254021E0,-1.442920623E0,1.075637366E1
8.660271250E-1,2.506027751E0,6.137362679E0,-6.102639574E-1,6.657313110E0
8.759841250E-1,-1.282600202E0,4.630853879E0,1.277447051E-1,4.806889809E0
8.859421250E-1,-5.692422312E0,3.304091411E0,-4.846742436E-1,6.599666731E0
8.958991250E-1,-4.154484143E0,2.440878659E0,-1.320048987E0,4.996014056E0
9.058561250E-1,-1.566894751E0,2.713612093E0,-2.015911211E0,3.725955953E0
9.158131250E-1,-5.544148618E-1,2.697838059E0,-4.184308744E0,5.009405723E0
9.257701250E-1,-2.754270122E0,1.378368239E0,-8.267309799E0,8.822375769E0
9.357271250E-1,-3.627649428E0,-2.227381028E0,-1.208911836E1,1.281670197E1
9.456841250E-1,-1.552646255E0,-5.366749358E0,-1.292957843E1,1.408498163E1
9.556421250E-1,4.689521917E0,-7.384978405E0,-6.584485227E0,1.094919940E1
9.655991250E-1,7.022006646E0,-9.778815629E0,2.498591262E-1,1.204143854E1
9.755561250E-1,9.183613515E0,-1.234860142E1,5.663755753E0,1.639831831E1
9.855131250E-1,9.018315067E0,-1.262817317E1,1.221443121E1,1.974824281E1
9.954701250E-1,8.468584995E0,-1.226778588E1,1.570654861E1,2.165435687E1
1.005427125E0,9.107659353E0,-1.135149912E1,1.092384663E1,1.819715408E1
1.015384125E0,8.168218789E0,-9.621923724E0,-7.107889965E-1,1.264145701E1
1.025342125E0,7.292621049E0,-9.941026747E0,-9.110818019E0,1.533014480E1
1.035299125E0,1.013518471E1,-9.497108474E0,-1.771571857E0,1.400198219E1
1.045256125E0,1.261852059E1,-8.947861381E0,4.851077270E0,1.621185479E1
1.055213125E0,1.086331041E1,-5.339067469E0,4.382293712E0,1.287329222E1
1.065170125E0,6.431737243E0,-3.527529309E0,2.979045278E0,7.917412314E0
1.075127125E0,4.416775035E0,-4.616118311E0,1.700876681E0,6.611310872E0
1.085085125E0,3.172660037E0,-5.247678412E0,9.293003225E-1,6.202217306E0
1.095042125E0,2.548149338E0,-4.639460980E0,1.290908949E0,5.448312505E0
1.104999125E0,1.545311508E0,-3.186792757E0,2.996684573E0,4.639370018E0
1.114956125E0,4.295224285E-1,-1.333524773E0,3.890495805E0,4.135061722E0
1.124913125E0,-3.523017597E-1,1.159175420E-1,3.555502388E0,3.574793790E0
1.134870125E0,-1.917875040E0,1.289940212E0,1.710586567E0,2.875464627E0
1.144827125E0,-1.512923196E0,2.127653257E0,4.901918225E-1,2.656338269E0
1.154785125E0,-1.681594318E0,3.034262289E0,4.822560545E-1,3.502438863E0
1.164742125E0,-3.331526547E0,4.163820392E0,8.412598197E-1,5.398535679E0
1.174699125E0,-3.626722060E0,4.833141813E0,2.475701167E0,6.530043564E0
