"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.400666664E-3,-5.391381338E-1,3.814817047E-1,1.662515438E-1,6.810563811E-1
7.649333336E-3,-7.426548600E-1,3.953635794E-1,6.542285872E-1,1.065769039E0
1.770033333E-2,-5.131905296E-1,6.932482266E-1,8.193767613E-1,1.189678906E0
2.775133333E-2,-4.521236712E-1,7.604052526E-1,5.707040352E-1,1.052774932E0
3.780233334E-2,-4.638248268E-1,7.192355919E-1,9.764031529E-2,8.613750274E-1
4.785333333E-2,-3.565602869E-1,9.125024414E-1,-2.620669430E-1,1.014137578E0
5.790333333E-2,-2.436449978E-1,1.084096586E0,-5.505802578E-1,1.240067302E0
6.795433334E-2,-1.158175546E-1,1.182747885E0,-7.268077362E-1,1.393038316E0
7.800533334E-2,3.822909594E-3,1.198252362E0,-5.331812829E-1,1.311527971E0
8.805633333E-2,-5.733487308E-3,1.235054153E0,-5.264774501E-1,1.342598279E0
9.810733334E-2,-3.001168218E-1,1.256346788E0,-5.237631726E-1,1.393845479E0
1.081583333E-1,-4.729330346E-1,1.135746796E0,-5.706601810E-1,1.356185637E0
1.182083333E-1,-3.539959905E-1,6.472926199E-1,-9.753909999E-1,1.222983442E0
1.282593333E-1,-6.055815071E-1,1.710199481E-1,-6.946340168E-1,9.372796816E-1
1.383103333E-1,-2.313733001E-1,9.301107466E-2,-1.108419834E0,1.136124637E0
1.483613333E-1,-9.749895886E-2,-2.192647398E-2,-9.329367059E-1,9.382737951E-1
1.584148333E-1,-7.293962985E-3,-1.042874300E-1,-1.112904648E0,1.117804019E0
1.684658333E-1,1.040719602E-1,-3.655579823E-1,-8.697721589E-1,9.491929307E-1
1.785168333E-1,2.456386060E-1,-6.282643184E-1,-9.688146365E-1,1.180532159E0
1.885678333E-1,4.777884163E-1,-4.328565109E-1,-1.495749924E0,1.628776953E0
